fuente_pdf,pagina_aprox,sector,fondo_documental,unidad_productora,fraccion_documental,codigo_serie,serie_documental,tipo_documento,valor_serie,retencion_ag,retencion_ap,retencion_oaa,retencion_total,valoracion_decision,valoracion_destino,valoracion_momento,valoracion_justifica,hash_fila
anexo2_layout.txt,1,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CODI,CODI/01,ACTAS DE SESIONES,ACTAS DE SESIONES,PERMANENTE,2,0,28,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,bea06c154e8fd4df85b5f31938d1add802439889206682d72ca0cd11045e7739
anexo2_layout.txt,1,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),CODI,CODI/02,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,0,6,8,ELIMINACION,Archivo de Gestion/Periferico,Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,b9e86e404baab00fd76b312329a3de48083571a7d83394f187d8f50bc84e2646
anexo2_layout.txt,2,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PREJ,PREJ/01,RESOLUCIONES,RESOLUCIONES,PERMANENTE,2,0,28,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,1d7b89249d14014dc23c20beb45b9873a9c6c096df64b213d2b9a8862f052cd2
anexo2_layout.txt,2,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PREJ,PREJ/02,PRONUNCIAMIENTOS,PRONUNCIAMIENTOS,PERMANENTE,2,0,28,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,bd0a3b285de2fd3e88512e78ea3ecd1e4c5e4233fa3434ff3f5941f2ab087aaa
anexo2_layout.txt,2,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),PREJ,PREJ/03,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,0,6,8,ELIMINACION,Archivo de Gestion/Periferico,Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,425fe0071856c758a8d6316077c0172e073da71da952d86c351fe51aa954b1a8
anexo2_layout.txt,3,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),COIN,COIN/01,RESOLUCIONES JEFATURALES,RESOLUCIONES JEFATURALES,PERMANENTE,2,8,20,30,TRANSFERENCIA,Archivo Central,Conservar en Archivo Central de forma indefinida.,Conservacion permanente segun PCD,1abfa649c40b7ff34513cba70b38e9471b79d34b68f5ac81b5a8dd9866f77e0e
anexo2_layout.txt,3,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),COIN,COIN/02,ACCIONES DE CONTROL,ACCIONES DE CONTROL,TEMPORAL,2,8,5,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,f1dd983adb531c69e1ce02caeffc7e8cc6e3bf9b1acbab70cc551813ae045792
anexo2_layout.txt,3,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),COIN,COIN/03,ACTIVIDADES DE CONTROL,ACTIVIDADES DE CONTROL,TEMPORAL,2,8,5,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,b689a4e2a95f591eb555910eacbb9e993c75e70b9c5c1cd7110b922d9bc61644
anexo2_layout.txt,3,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),COIN,COIN/04,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,8,2,12,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,75ea78ecb536d896528fab110915dde875fb0a2641a0f625006c9bedc7214aaf
anexo2_layout.txt,4,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),COCA,COCA/01,CORRESPONDENCIA,CORRESPONDENCIA,TEMPORAL,2,8,2,12,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,099f0c119d3f133f74494a87a50477924d0a1fcd64772ed7462bfa479d17c2b6
anexo2_layout.txt,5,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),AGMC,AGMC/01,INFORMES DE SOCIEDADES AUDITORAS,INFORMES DE SOCIEDADES AUDITORAS,TEMPORAL,2,8,5,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,98c4416e0eff629ba54c68154f6c3736abdc7a4b32968eeff7fab2831f43f8be
anexo2_layout.txt,5,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),AGMC,AGMC/02,INFORMES DE SEGUIMIENTOS DE MEDIDAS CORRECTIVAS,INFORMES DE SEGUIMIENTOS DE MEDIDAS CORRECTIVAS,TEMPORAL,2,8,5,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,96dd39d5f4dbe6c031b46b9610062f07e0fb539e5b58cbef171ca2928f09783f
anexo2_layout.txt,5,2. Nombre de la entidad:,SEGURO SOCIAL DE SALUD (EsSalud),SEGURO SOCIAL DE SALUD (EsSalud),AGMC,AGMC/03,VEEDURIAS,VEEDURIAS,TEMPORAL,2,8,5,15,ELIMINACION,Archivo Central (opcional/intermedio),Ejecutar eliminacion documental conforme PCD/AGN.,Agotado el valor primario y vencidos plazos reglados en AG/AP/OAA.,71f1d43d64a38d6519815e8c59d373edaeb52612ec92337da794fa0731f7b7f3
